#32
0       16
0.5     25
1       45


#256
0       48
0.5     28
1       23
1.5     29
2       50
2.5     79 #96



#512
0.5     47
1       27
1.5     21
2       26
2.5     42
3       80


#2k
1.5     48
2       31
2.5     25
3       34
3.5     57
4       86 #111   


#8k
2.5     49
3       31
3.5     24
4       30
4.5     52
5       91   


#16k
3       50
3.5     31
4       24
4.5     32
5       54
5.5     102   


#64k
4       48
4.5     30
5       25
5.5     33
6       57
6.5     110   


#128k
4.5     49
5       31
5.5     27
6       34
6.5     61
7       120   






